,Parameter,Parameter,Filepath,KPI,KPI
,epistemic,aleatory,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
8:1:2:,145.66666666666669,0.5932215712527718,sp1_146_67_sp2_0_6/ep1_79_0/aps2.erg,0.42399233341217046,1.4105750985929921
8:2:1:,146.66666666666669,0.5678958309706164,sp1_146_67_sp2_0_6/ep1_80_0/aps1.erg,0.4428002214431763,1.3488806217093807
8:2:2:,146.66666666666669,0.6110072455666121,sp1_146_67_sp2_0_6/ep1_80_0/aps2.erg,0.4081765985488892,1.4509517782122672
8:3:1:,147.66666666666669,0.5823111639833489,sp1_146_67_sp2_0_6/ep1_81_0/aps1.erg,0.42979341506958013,1.381619869352202
8:3:2:,147.66666666666669,0.5936576220941673,sp1_146_67_sp2_0_6/ep1_81_0/aps2.erg,0.4206539964675904,1.4092946930446215
9:1:1:,145.66666666666669,0.8356987180051604,sp1_146_67_sp2_0_85/ep1_79_0/aps1.erg,0.22777086257934576,1.9832206521963491
9:1:2:,145.66666666666669,0.8598321326154216,sp1_146_67_sp2_0_85/ep1_79_0/aps2.erg,0.20779472351074224,2.041199136177474
9:2:1:,146.66666666666669,0.8508515043085655,sp1_146_67_sp2_0_85/ep1_80_0/aps1.erg,0.21321350097656255,2.0186474612499783
9:2:2:,146.66666666666669,0.8485953791491487,sp1_146_67_sp2_0_85/ep1_80_0/aps2.erg,0.21508818626403814,2.013409248747844
9:3:1:,147.66666666666669,0.8606561204031286,sp1_146_67_sp2_0_85/ep1_81_0/aps1.erg,0.20286947250366216,2.0399842746459895
9:3:2:,147.66666666666669,0.8484610355355042,sp1_146_67_sp2_0_85/ep1_81_0/aps2.erg,0.21304851531982427,2.0108035710111105
10:1:1:,179.0,0.3350252456574836,sp1_180_0_sp2_0_35/ep1_79_0/aps1.erg,0.6000367975234986,0.7565666314102687
10:1:2:,179.0,0.3575086933253998,sp1_180_0_sp2_0_35/ep1_79_0/aps2.erg,0.580850419998169,0.8069369520638497
10:2:1:,180.0,0.3496979389805133,sp1_180_0_sp2_0_35/ep1_80_0/aps1.erg,0.5867035961151124,0.7890580129997715
10:2:2:,180.0,0.3495920451195089,sp1_180_0_sp2_0_35/ep1_80_0/aps2.erg,0.586794195175171,0.7888209407975133
10:3:1:,181.0,0.3449624579548923,sp1_180_0_sp2_0_35/ep1_81_0/aps1.erg,0.5899582481384278,0.7780024252954265
10:3:2:,181.0,0.3545464487006652,sp1_180_0_sp2_0_35/ep1_81_0/aps2.erg,0.5817359066009522,0.7994402444106208
11:1:1:,179.0,0.5971303974323273,sp1_180_0_sp2_0_6/ep1_79_0/aps1.erg,0.3734280443191529,1.3872210570249122
11:1:2:,179.0,0.5881138927880971,sp1_180_0_sp2_0_6/ep1_79_0/aps2.erg,0.3813454484939576,1.3666937467816886
11:2:1:,180.0,0.6059557637084118,sp1_180_0_sp2_0_6/ep1_80_0/aps1.erg,0.3642157888412476,1.4064792614592314
