,Parameter,Parameter,Filepath,KPI,KPI
,epistemic,aleatory,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
8:2:1:,146.66666666666669,0.5678958309706164,sp1_146_67_sp2_0_6/ep1_80_0/aps1.erg,0.1485931253433228,1.2473867491706259
8:2:2:,146.66666666666669,0.6110072455666121,sp1_146_67_sp2_0_6/ep1_80_0/aps2.erg,0.0925924158096314,1.3435048128502936
8:3:1:,147.66666666666669,0.5823111639833489,sp1_146_67_sp2_0_6/ep1_81_0/aps1.erg,0.12915521621704107,1.2793596039430088
8:3:2:,147.66666666666669,0.5936576220941673,sp1_146_67_sp2_0_6/ep1_81_0/aps2.erg,0.11440151691436773,1.3035623380058092
9:1:1:,145.66666666666669,0.8356987180051604,sp1_146_67_sp2_0_85/ep1_79_0/aps1.erg,0.0,1.8400601678094874
9:1:2:,145.66666666666669,0.8598321326154216,sp1_146_67_sp2_0_85/ep1_79_0/aps2.erg,0.0,1.894462160990651
9:2:1:,146.66666666666669,0.8508515043085655,sp1_146_67_sp2_0_85/ep1_80_0/aps1.erg,0.0,1.8734559262359896
9:2:2:,146.66666666666669,0.8485953791491487,sp1_146_67_sp2_0_85/ep1_80_0/aps2.erg,0.0,1.868686979685119
9:3:1:,147.66666666666669,0.8606561204031286,sp1_146_67_sp2_0_85/ep1_81_0/aps1.erg,0.0,1.8936835160466625
9:3:2:,147.66666666666669,0.8484610355355042,sp1_146_67_sp2_0_85/ep1_81_0/aps2.erg,0.0,1.8670892615980872
10:1:1:,179.0,0.3350252456574836,sp1_180_0_sp2_0_35/ep1_79_0/aps1.erg,0.4343103742599488,0.7036355083354234
10:1:2:,179.0,0.3575086933253998,sp1_180_0_sp2_0_35/ep1_79_0/aps2.erg,0.40419250488281255,0.7503594862838497
10:2:1:,180.0,0.3496979389805133,sp1_180_0_sp2_0_35/ep1_80_0/aps1.erg,0.4140972471237183,0.7338640498279009
10:2:2:,180.0,0.3495920451195089,sp1_180_0_sp2_0_35/ep1_80_0/aps2.erg,0.4142392253875733,0.7336441121805259
10:3:1:,181.0,0.3449624579548923,sp1_180_0_sp2_0_35/ep1_81_0/aps1.erg,0.419847903251648,0.7236882847194648
10:3:2:,181.0,0.3545464487006652,sp1_180_0_sp2_0_35/ep1_81_0/aps2.erg,0.40697031974792486,0.7435830360110363
11:1:1:,179.0,0.5971303974323273,sp1_180_0_sp2_0_6/ep1_79_0/aps1.erg,0.08209794521331792,1.2982655712129254
